Station, Lat, Long, Depth, Temp, Sal
1, -3.832, 187.165, 115.996, 26.8912, 35.8049
1, -3.832, 187.165, 116.945, 27.0707, 35.739
1, -3.832, 187.165, 117.952, 27.008, 35.7451
1, -3.832, 187.165, 118.966, 26.8363, 35.7591
1, -3.832, 187.165, 120.002, 26.6539, 35.7661
1, -3.832, 187.165, 121.046, 26.4843, 35.7788
1, -3.832, 187.165, 122.088, 26.2114, 35.8301
1, -3.832, 187.165, 122.991, 26.0126, 35.8519
1, -3.832, 187.165, 123.908, 25.884, 35.8818
1, -3.832, 187.165, 124.861, 25.8684, 35.8788
1, -3.832, 187.165, 125.891, 25.8681, 35.8757
1, -3.832, 187.165, 127.027, 25.8384, 35.8907
1, -3.832, 187.165, 128.019, 25.835, 35.8957
1, -3.832, 187.165, 129.276, 25.821, 35.908
1, -3.832, 187.165, 129.892, 25.6067, 35.948
1, -3.832, 187.165, 130.874, 25.564, 35.9373
1, -3.832, 187.165, 131.897, 25.5432, 35.9314
1, -3.832, 187.165, 132.867, 25.5159, 35.9306
1, -3.832, 187.165, 133.863, 25.4762, 35.9325
1, -3.832, 187.165, 134.957, 25.4104, 35.9435
1, -3.832, 187.165, 136.108, 25.423, 35.9319
1, -3.832, 187.165, 136.931, 25.3932, 35.9228
1, -3.832, 187.165, 138.003, 25.1179, 35.9337
1, -3.832, 187.165, 138.961, 25.0192, 35.9262
1, -3.832, 187.165, 140.015, 24.9327, 35.9164
1, -3.832, 187.165, 141.07, 24.8081, 35.913
1, -3.832, 187.165, 141.944, 24.6339, 35.9321
1, -3.832, 187.165, 142.939, 24.389, 35.9775
1, -3.832, 187.165, 144.058, 24.3655, 35.9384
1, -3.832, 187.165, 144.986, 24.2662, 35.9172
1, -3.832, 187.165, 145.911, 23.6091, 35.9716
1, -3.832, 187.165, 146.914, 23.5191, 35.8583
1, -3.832, 187.165, 147.99, 23.142, 35.9288
1, -3.832, 187.165, 148.969, 22.978, 35.9004
1, -3.832, 187.165, 149.839, 22.8166, 35.9022
1, -3.832, 187.165, 150.933, 22.6579, 35.9034
1, -3.832, 187.165, 152.267, 22.3565, 35.8535
1, -3.832, 187.165, 152.924, 21.8638, 35.8094
1, -3.832, 187.165, 153.986, 21.8386, 35.7803
1, -3.832, 187.165, 155.034, 21.7807, 35.7665
1, -3.832, 187.165, 156.029, 21.662, 35.7656
1, -3.832, 187.165, 157.018, 21.4918, 35.7708
1, -3.832, 187.165, 158.024, 21.3126, 35.7851
1, -3.832, 187.165, 159.077, 21.3364, 35.7588
1, -3.832, 187.165, 160.011, 21.3078, 35.7402
1, -3.832, 187.165, 160.972, 20.9438, 35.7495
1, -3.832, 187.165, 161.977, 20.9295, 35.6898
1, -3.832, 187.165, 162.994, 20.6825, 35.6709
1, -3.832, 187.165, 164.093, 20.1411, 35.6903
1, -3.832, 187.165, 165.079, 19.7002, 35.6709
1, -3.832, 187.165, 166.029, 19.4187, 35.5738
1, -3.832, 187.165, 166.947, 18.8985, 35.5578
1, -3.832, 187.165, 168.015, 18.4843, 35.5219
1, -3.832, 187.165, 168.995, 18.1648, 35.5062
1, -3.832, 187.165, 169.973, 18.2854, 35.4535
1, -3.832, 187.165, 170.941, 18.2501, 35.4591
1, -3.832, 187.165, 171.953, 18.0366, 35.4686
1, -3.832, 187.165, 172.966, 17.9883, 35.4277
1, -3.832, 187.165, 173.951, 17.8398, 35.4101
1, -3.832, 187.165, 174.965, 17.5717, 35.3803
1, -3.832, 187.165, 175.919, 17.0953, 35.4176
1, -3.832, 187.165, 176.99, 16.7803, 35.3566
1, -3.832, 187.165, 178.015, 16.7151, 35.3027
1, -3.832, 187.165, 178.902, 16.5009, 35.3124
1, -3.832, 187.165, 179.93, 16.2936, 35.2829
1, -3.832, 187.165, 180.967, 16.193, 35.2823
1, -3.832, 187.165, 181.964, 16.1365, 35.2748
1, -3.832, 187.165, 182.978, 16.1213, 35.261
1, -3.832, 187.165, 183.941, 16.0865, 35.2562
1, -3.832, 187.165, 185.024, 16.0103, 35.2617
1, -3.832, 187.165, 185.997, 16.0028, 35.2517
1, -3.832, 187.165, 186.916, 15.9918, 35.2493
1, -3.832, 187.165, 187.994, 15.9469, 35.2493
1, -3.832, 187.165, 189.064, 15.915, 35.247
1, -3.832, 187.165, 190.061, 15.9034, 35.2358
1, -3.832, 187.165, 190.972, 15.7958, 35.2341
1, -3.832, 187.165, 191.967, 15.7171, 35.2232
1, -3.832, 187.165, 193.061, 15.5904, 35.2328
1, -3.832, 187.165, 194.172, 15.5427, 35.2105
1, -3.832, 187.165, 194.932, 15.4666, 35.2075
1, -3.832, 187.165, 195.991, 15.4128, 35.1996
1, -3.832, 187.165, 197.049, 15.3678, 35.2027
1, -3.832, 187.165, 198.133, 15.3665, 35.1921
1, -3.832, 187.165, 198.841, 15.3569, 35.1909
1, -3.832, 187.165, 199.959, 15.35, 35.1887
1, -3.832, 187.165, 200.928, 15.335, 35.1883
1, -3.832, 187.165, 201.91, 15.3091, 35.1876
1, -3.832, 187.165, 202.941, 15.2764, 35.1827
1, -3.832, 187.165, 204.013, 15.2203, 35.172
1, -3.832, 187.165, 205.012, 15.0317, 35.1734
1, -3.832, 187.165, 206.046, 14.8595, 35.1579
1, -3.832, 187.165, 207.02, 14.7737, 35.1421
1, -3.832, 187.165, 207.997, 14.7195, 35.1377
1, -3.832, 187.165, 209.076, 14.6715, 35.1326
1, -3.832, 187.165, 210.071, 14.6086, 35.1402
1, -3.832, 187.165, 211.138, 14.6118, 35.1202
1, -3.832, 187.165, 211.949, 14.4946, 35.1168
1, -3.832, 187.165, 213.073, 14.3243, 35.1099
1, -3.832, 187.165, 213.988, 14.2352, 35.1038
1, -3.832, 187.165, 214.961, 14.1664, 35.0959
1, -3.832, 187.165, 215.979, 14.1193, 35.0856
1, -3.832, 187.165, 217.024, 14.0743, 35.0787
1, -3.832, 187.165, 218.087, 14.0127, 35.0759
1, -3.832, 187.165, 219.069, 13.9352, 35.0694
1, -3.832, 187.165, 220.026, 13.853, 35.0638
1, -3.832, 187.165, 220.98, 13.8166, 35.0529
1, -3.832, 187.165, 221.902, 13.7464, 35.044
1, -3.832, 187.165, 222.876, 13.6509, 35.0386
1, -3.832, 187.165, 223.864, 13.5295, 35.0339
1, -3.832, 187.165, 224.935, 13.3654, 35.046
1, -3.832, 187.165, 225.968, 13.2999, 35.0163
