Lat, Long, Depth, Temp, Sal
-3.093, 186.572, 567.4715, 7.34424, 34.59422
-3.093, 186.572, 577.5008, 7.28255, 34.59113
-3.093, 186.572, 587.9843636, 7.199627273, 34.58818182
-2.418, 186.038, 17.99790909, 30.10458182, 34.60229091
-2.418, 186.038, 27.98822222, 30.09812222, 34.67145556
-2.418, 186.038, 38.00681818, 30.09614545, 34.73129091
-2.418, 186.038, 48.4974, 30.12243, 34.80052
-2.418, 186.038, 58.00155556, 30.16453333, 34.85505556
-2.418, 186.038, 67.4847, 30.16459, 34.89079
-2.418, 186.038, 78.01190909, 30.1803, 35.11437273
-2.418, 186.038, 88.4889, 29.35749, 35.48304
-2.418, 186.038, 98.02011111, 28.79034444, 35.58211111
-2.418, 186.038, 107.4997, 28.4315, 35.60023
-2.418, 186.038, 117.9983636, 27.92582727, 35.6372
-2.418, 186.038, 127.9578889, 27.2293, 35.73546667
-2.418, 186.038, 137.515, 26.40667, 35.81625
-2.418, 186.038, 148.0338182, 24.44485455, 35.78815455
-2.418, 186.038, 158.5003, 20.8139, 35.64555
-2.418, 186.038, 168.4768, 18.49324, 35.47688
-2.418, 186.038, 178.4912, 16.38964, 35.29857
-2.418, 186.038, 188.4952, 14.82201, 35.15618
-2.418, 186.038, 197.9964444, 13.41217778, 35.01755556
-2.418, 186.038, 207.513, 12.65541, 34.95381
-2.418, 186.038, 217.525, 12.07312, 34.90307
-2.418, 186.038, 227.514, 11.40316, 34.84834
-2.418, 186.038, 237.5019, 11.03295, 34.81166
-2.418, 186.038, 247.4896, 10.86176, 34.79482
-2.418, 186.038, 257.9711818, 10.67055455, 34.78092727
-2.418, 186.038, 267.9597778, 10.4419, 34.7607
-2.418, 186.038, 277.4759, 10.34108, 34.75366
-2.418, 186.038, 287.5196, 10.28843, 34.74872
-2.418, 186.038, 297.4659, 10.27483, 34.74805
-2.418, 186.038, 307.9971818, 10.2244, 34.74488182
-2.418, 186.038, 318, 10.14806667, 34.74055556
-2.418, 186.038, 328.0100909, 10.06299091, 34.73647273
-2.418, 186.038, 337.9914444, 9.943888889, 34.72835556
-2.418, 186.038, 348.0366364, 9.903772727, 34.72577273
-2.418, 186.038, 358.4994, 9.87403, 34.72368
-2.418, 186.038, 368.4876, 9.80238, 34.72001
-2.418, 186.038, 378.4829, 9.75966, 34.71763
-2.418, 186.038, 387.983, 9.747088889, 34.71647778
-2.418, 186.038, 397.5054, 9.65335, 34.71187
-2.418, 186.038, 407.5593, 9.5464, 34.70582
-2.418, 186.038, 418.0137273, 9.478818182, 34.7019
-2.418, 186.038, 428.4883, 9.45791, 34.70045
-2.418, 186.038, 438.5252, 9.40277, 34.69696
-2.418, 186.038, 448.4662, 9.29885, 34.69073
-2.418, 186.038, 458.4562, 9.16609, 34.68339
-2.418, 186.038, 467.9772222, 9.018822222, 34.67441111
-2.418, 186.038, 478.0172727, 8.8795, 34.66939091
-2.418, 186.038, 488.0372222, 8.679488889, 34.6621
-2.418, 186.038, 498.0084545, 8.467245455, 34.64982727
-2.418, 186.038, 508.0244444, 8.130855556, 34.63447778
-2.418, 186.038, 517.4875, 7.90187, 34.62126
-2.418, 186.038, 527.5277, 7.62349, 34.60832
-2.418, 186.038, 538.0102727, 7.468290909, 34.5986
-2.418, 186.038, 548.4604, 7.37497, 34.59272
-2.418, 186.038, 557.9572222, 7.196677778, 34.58497778
-2.418, 186.038, 567.9911818, 7.082063636, 34.58004545
-2.418, 186.038, 578.4656, 6.99776, 34.57661
-2.04, 185.757, 17.536, 30.19495, 30.19495
-2.04, 185.757, 28.01036364, 30.19970909, 30.19970909
-2.04, 185.757, 38.4721, 30.17078, 30.17078
-2.04, 185.757, 48.5036, 30.13779, 30.13779
-2.04, 185.757, 58.4782, 30.127, 30.127
-2.04, 185.757, 68.5116, 30.22082, 30.22082
-2.04, 185.757, 78.00766667, 30.10584444, 30.10584444
-2.04, 185.757, 87.5266, 29.31713, 29.31713
-2.04, 185.757, 98.00272727, 28.65025455, 28.65025455
-2.04, 185.757, 107.9604444, 27.91774444, 27.91774444
-2.04, 185.757, 117.4946, 26.82038, 26.82038
-2.04, 185.757, 127.9858182, 25.88102727, 25.88102727
-2.04, 185.757, 137.9513333, 24.24985556, 24.24985556
-2.04, 185.757, 147.5202, 23.18661, 23.18661
-2.04, 185.757, 158.0545455, 21.92831818, 21.92831818
-2.04, 185.757, 168.4688, 19.12667, 19.12667
-2.04, 185.757, 178.4941, 15.66444, 15.66444
-2.04, 185.757, 188.4774, 14.43742, 14.43742
-2.04, 185.757, 198.5008, 13.27856, 13.27856
-2.04, 185.757, 207.9868889, 12.23208889, 12.23208889
-2.04, 185.757, 217.9656364, 11.42451818, 11.42451818
-2.04, 185.757, 228.5044, 11.16974, 11.16974
-2.04, 185.757, 238.4111, 11.04172, 11.04172
-2.04, 185.757, 247.9885556, 10.99901111, 10.99901111
-2.04, 185.757, 258.0283636, 10.91405455, 10.91405455
-2.04, 185.757, 268.0215556, 10.75896667, 10.75896667
-2.04, 185.757, 277.5291, 10.64501, 10.64501
-2.04, 185.757, 287.9703636, 10.59828182, 10.59828182
-2.04, 185.757, 298.5253, 10.5318, 10.5318
-2.04, 185.757, 307.994, 10.48826667, 10.48826667
-2.04, 185.757, 317.4588, 10.43804, 10.43804
-2.04, 185.757, 327.5064, 10.35661, 10.35661
-2.04, 185.757, 337.5124, 10.22901, 10.22901
-2.04, 185.757, 347.998, 10.11263636, 10.11263636
-2.04, 185.757, 357.9957778, 10.03643333, 10.03643333
-2.04, 185.757, 367.9952727, 9.962554545, 9.962554545
-2.04, 185.757, 378.5128, 9.85358, 9.85358
-2.04, 185.757, 387.9997778, 9.775111111, 9.775111111
-2.04, 185.757, 398.0086364, 9.713472727, 9.713472727
-2.04, 185.757, 408.4907, 9.55135, 9.55135
-2.04, 185.757, 418.5186, 9.47994, 9.47994
-2.04, 185.757, 428.4985, 9.43571, 9.43571
-2.04, 185.757, 438.5151, 9.3337, 9.3337
-2.04, 185.757, 448.4758, 9.2188, 9.2188
-2.04, 185.757, 458.4653, 9.1155, 9.1155
-2.04, 185.757, 468.0445556, 8.952777778, 8.952777778
-2.04, 185.757, 478.0350909, 8.784118182, 8.784118182
-2.04, 185.757, 488.4932, 8.66036, 8.66036
-2.04, 185.757, 498.4896, 8.50167, 8.50167
-2.04, 185.757, 508.0051111, 8.320922222, 8.320922222
-2.04, 185.757, 518.0254545, 8.044172727, 8.044172727
-2.04, 185.757, 527.9922222, 7.7818, 7.7818
-2.04, 185.757, 537.9615455, 7.423554545, 7.423554545
-2.04, 185.757, 548.4983, 7.1593, 7.1593
-2.04, 185.757, 558.4797, 6.84277, 6.84277
-2.04, 185.757, 568.0442222, 6.798977778, 6.798977778
-2.04, 185.757, 578.002, 6.776981818, 6.776981818
-1.698, 185.663, 17.96088889, 30.2985, 34.59522222
-1.698, 185.663, 27.51, 30.24726, 34.62664
-1.698, 185.663, 37.98418182, 30.18959091, 34.63218182
-1.698, 185.663, 47.98088889, 30.13035556, 34.63705556
-1.698, 185.663, 57.5126, 30.26707, 34.80016
-1.698, 185.663, 67.5294, 30.44577, 35.08907
-1.698, 185.663, 77.97818182, 30.19012727, 35.39775455
-1.698, 185.663, 88.481, 28.92036, 35.42938
-1.698, 185.663, 97.992, 28.12156667, 35.38201111
