"Series Data"
"E:\S261\Data\ADCP\S261001_000000.LTA"
"Broadband 76.8 kHz"
"Pings/Ens ="	174
"Time/Ping = 00:02.00"
"First Ensemble Date = 15/07/08"
"First Ensemble Time = 00:56:46.33"
"Ensemble Interval (s) = "	1200.00
"1st Bin Range (m) = "	18.68
"Bin Size (m) ="	10.00


Ens	YR	MO	DA	HH	MM	SS	HH		"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	    "FLat"	    "FLon"	    "LLat"	    "LLon"
8	15	07	08	03	16	52	84		37	37	36	34	32	29	27	25	26	26	27	28	30	31	34	37	39	42	50	60	67	70	68	63	55	46	37	29	24	19	-157	-166	-134	-89	-56	-51	-66	-72	-87	-56	-43	-13	37	-16	-96	-83	-81	-77	-114	-145	-124	-99	-72	-20	4	95	49	86	-65	-198	20	70	67	59	38	53	14	36	13	17	12	-34	-124	-251	-234	-304	-292	-286	-273	-249	-204	-133	-33	51	86	50	55	103	169	-758	158	180	150	107	68	74	67	80	88	59	45	36	129	252	253	315	303	296	296	288	239	166	79	55	86	107	74	134	181	783	277.30	292.90	296.60	303.50	304.20	316.10	282.00	296.60	278.50	286.90	285.60	200.90	163.40	183.60	202.30	195.30	195.50	195.10	202.70	210.20	211.30	216.70	245.40	338.60	2.70	62.20	41.70	39.90	339.00	194.60	21.12431637	-157.97867733	21.08998468	-157.99377515
9	15	07	08	03	36	47	66		39	38	38	36	32	29	25	23	22	21	21	21	22	24	26	29	32	34	38	48	61	68	69	64	57	50	44	36	29	23	-187	-157	-127	-106	-90	-71	-82	-99	-114	-94	-123	-120	-74	34	-90	-171	-123	-152	-212	-293	-273	-140	-80	-31	-23	22	118	38	188	771	15	-11	-26	-49	-46	-46	-34	-86	-127	-135	-95	-53	-47	-148	-366	-397	-448	-424	-468	-495	-499	-318	-113	31	132	172	157	307	415	494	188	157	130	117	101	85	89	131	171	165	155	131	88	152	377	432	465	450	514	575	569	347	138	44	134	173	196	309	456	916	274.60	266.00	258.40	245.20	242.90	237.10	247.50	229.00	221.90	214.80	232.30	246.20	237.60	167.10	193.80	203.30	195.40	199.70	204.40	210.60	208.70	203.80	215.30	315.00	350.10	7.30	36.90	7.10	24.40	57.40	21.08991385	-157.99377833	21.05249754	-158.00222763
10	15	07	08	03	56	49	36		33	34	34	34	34	34	32	31	29	26	24	22	22	24	25	26	28	32	32	34	38	42	45	44	43	42	42	42	40	39	-236	-212	-194	-144	-147	-149	-149	-155	-152	-146	-166	-156	-139	-139	39	-46	-73	-55	-164	-94	-127	-80	-36	-54	-41	-94	-92	-262	-122	-179	-67	-80	-112	-143	-124	-139	-159	-171	-181	-143	-135	-120	-88	-67	-156	-205	-359	-312	-532	-533	-484	-373	-366	-373	-417	-517	-554	-666	-537	-640	245	227	224	203	192	204	218	231	236	204	214	197	165	154	161	210	366	317	557	541	500	381	368	377	419	525	562	716	551	665	254.20	249.30	240.00	225.20	229.90	227.00	223.10	222.20	220.00	225.60	230.90	232.40	237.70	244.30	166.00	192.60	191.50	190.00	197.10	190.00	194.70	192.10	185.60	188.20	185.60	190.30	189.40	201.50	192.80	195.60	21.05242831	-158.00222620	21.01277470	-158.01196681
11	15	07	08	04	16	51	08		30	30	30	30	31	32	31	30	30	30	31	30	31	32	32	33	32	32	31	30	29	27	25	24	22	20	19	18	17	16	-479	-469	-484	-474	-464	-510	-491	-486	-486	-459	-433	-411	-401	-381	-416	-422	-411	-384	-353	-377	-359	-336	-361	-349	-340	-332	-324	-343	-414	-228	-13	-12	-11	-43	-65	-57	-72	-41	-37	-31	-26	-50	-46	-72	-45	-48	-13	24	39	28	33	35	59	13	24	-42	-30	-47	25	22	479	469	484	476	469	513	496	488	487	460	434	414	404	388	418	425	411	385	355	378	361	338	366	349	341	335	325	346	415	229	268.40	268.50	268.70	264.80	262.00	263.60	261.70	265.20	265.60	266.10	266.60	263.10	263.50	259.30	263.80	263.50	268.20	273.60	276.30	274.20	275.30	275.90	279.30	272.10	274.00	262.80	264.70	262.20	273.50	275.50	21.01269549	-158.01198517	20.97231517	-158.02115430
12	15	07	08	04	36	53	20		38	39	40	39	38	37	35	33	31	30	30	31	32	32	32	33	34	32	32	32	30	29	27	26	24	23	22	20	19	18	-190	-216	-201	-190	-175	-169	-198	-202	-201	-168	-136	-161	-158	-141	-133	-121	-147	-107	-117	-114	-74	-70	-30	-30	21	28	18	21	77	4	27	10	-6	24	27	67	95	80	49	58	49	-17	-16	4	7	17	-4	18	16	19	4	50	90	110	79	60	46	30	57	31	192	216	201	192	177	182	220	217	207	178	145	162	159	141	133	122	147	109	118	116	74	86	95	114	82	66	49	37	96	31	278.10	272.70	268.30	277.20	278.80	291.60	295.60	291.60	283.70	289.00	289.80	264.00	264.20	271.60	273.00	278.00	268.40	279.50	277.80	279.50	273.10	305.50	341.60	344.70	14.90	25.00	21.40	35.00	53.50	7.40	20.97224266	-158.02116947	20.93063037	-158.02842820
13	15	07	08	04	56	49	30		40	38	37	35	34	33	32	32	33	34	36	37	38	38	37	36	34	33	32	30	29	27	25	24	22	20	18	18	17	16	-147	-161	-176	-168	-152	-104	-127	-105	-93	-92	-80	-105	-83	-72	-54	-70	-76	-100	-70	-76	-68	-61	-70	-58	-74	4	-39	-30	-74	16	38	45	16	25	-3	-5	0	23	-15	11	10	-4	22	37	55	32	59	36	30	23	27	35	50	72	51	86	82	151	68	17	152	167	177	170	152	104	127	107	94	93	81	105	86	81	77	77	96	106	76	79	73	70	86	92	90	86	91	154	100	23	284.50	285.60	275.20	278.50	268.90	267.20	270.00	282.40	260.80	276.80	277.10	267.80	284.80	297.20	315.50	294.60	307.80	289.80	293.20	286.80	291.70	299.80	305.50	321.10	304.60	2.70	334.60	348.80	312.60	43.30	20.93056130	-158.02842652	20.89008719	-158.03293037
14	15	07	08	05	16	51	00		42	40	38	37	35	33	32	31	30	31	32	34	35	35	34	34	32	30	29	28	28	26	24	22	21	20	18	18	17	16	-78	-118	-94	-89	-90	-24	-22	-40	-21	-33	-71	-72	-63	-62	-48	-26	-27	-21	-45	-79	-82	-72	-84	-58	-93	-64	-85	-83	-68	-99	73	54	58	32	24	-8	20	30	33	31	14	-11	-26	-42	-47	-13	-13	-14	-6	-54	-48	-20	-45	-38	18	-2	44	79	88	-19	107	130	110	95	93	25	30	50	39	45	72	73	68	75	67	29	30	25	45	96	95	75	95	69	95	64	96	115	111	101	313.10	294.60	301.70	289.80	284.90	251.60	312.30	306.90	327.50	313.20	281.20	261.30	247.60	235.90	225.60	243.40	244.30	236.30	262.40	235.60	239.70	254.50	241.80	236.80	281.00	268.20	297.40	313.60	322.30	259.10	20.89002164	-158.03293247	20.85099785	-158.04004636
15	15	07	08	05	36	46	58		41	39	37	36	34	32	32	32	33	34	34	34	34	33	32	31	30	29	28	26	24	22	20	19	18	18	17	16	16	15	1	-34	-14	-4	14	15	20	-4	-34	-24	-54	-38	-51	-62	-77	-53	-37	-10	-46	-8	-36	-27	-63	-108	-70	-33	-58	-67	-68	-101	79	34	-1	7	-7	-14	1	29	4	26	38	59	29	21	38	45	41	7	24	26	9	23	2	7	19	11	26	52	56	-34	79	48	14	8	16	21	20	29	34	35	66	70	59	65	86	70	55	12	52	27	37	35	63	108	73	35	64	85	88	107	0.70	315.00	265.90	330.30	116.60	133.00	87.10	352.10	276.70	317.30	305.10	327.20	299.60	288.70	296.30	310.30	317.90	305.00	297.60	342.90	284.00	310.40	271.80	273.70	285.20	288.40	294.10	307.80	309.50	251.40	20.85092266	-158.04006270	20.81139746	-158.04580883
16	15	07	08	05	56	48	30		36	34	32	29	27	26	26	28	31	32	34	34	34	33	32	30	28	26	26	24	22	20	18	18	18	17	17	16	16	15	-9	-32	-24	-42	-22	-37	-38	-31	-25	-34	-33	-27	-28	-29	-35	-32	-40	-61	-25	-28	-25	-26	6	-77	-27	-91	-130	-150	-112	-97	51	35	29	14	-12	-10	-30	-22	-12	-11	-8	10	53	42	59	47	20	31	21	-20	-15	-13	34	44	55	-22	-34	-43	-44	-37	52	47	38	44	25	38	48	38	28	36	34	29	60	51	69	57	45	68	33	34	29	29	35	89	61	94	134	156	120	104	350.00	317.60	320.40	288.40	241.40	254.90	231.70	234.60	244.40	252.10	256.40	290.30	332.20	325.40	329.30	325.80	296.60	296.90	310.00	234.50	239.00	243.40	10.00	299.70	333.90	256.40	255.30	254.00	248.60	249.10	20.81132353	-158.04582652	20.77475186	-158.05012199
17	15	07	08	06	16	49	98		34	32	29	27	26	26	27	30	32	35	37	36	36	35	34	32	31	29	26	24	22	20	19	18	18	18	16	16	15	15	-13	29	-18	-36	-50	-55	-45	-33	-13	24	15	11	-6	-16	-36	-24	-28	-45	-76	-32	-41	-12	2	-1	-49	-72	-77	-54	-191	-103	53	88	74	51	56	-10	-17	-43	-31	5	16	16	10	24	23	19	42	56	61	32	31	2	-8	4	43	27	63	12	-70	45	55	93	76	62	75	56	48	54	34	25	22	19	12	29	43	31	50	72	97	45	51	12	8	4	65	77	99	55	203	112	346.20	18.20	346.30	324.80	318.20	259.70	249.30	217.50	202.80	78.20	43.20	34.50	329.00	326.30	302.60	308.40	326.30	321.20	308.80	315.00	307.10	279.50	166.00	346.00	311.30	290.60	309.30	282.50	249.90	293.60	20.77468934	-158.05012132	20.73767913	-158.05430934
18	15	07	08	06	36	51	67		31	28	24	22	21	20	22	24	28	33	36	38	38	36	34	33	32	29	26	23	21	19	18	17	16	16	16	15	15	14	-65	-51	-19	-20	-40	-67	-27	-17	0	13	22	14	-11	-10	-26	3	7	4	14	-48	-59	-29	-58	-92	-112	-135	-118	-135	-54	-135	77	92	74	36	48	-8	-48	-43	-45	-23	-13	3	7	11	28	20	44	62	73	59	49	66	45	43	57	11	21	-86	25	170	101	105	76	41	62	67	55	46	45	26	26	14	13	15	38	20	45	62	74	76	77	72	73	102	126	135	120	160	60	217	319.80	331.00	345.60	330.90	320.20	263.20	209.40	201.60	180.00	150.50	120.60	77.90	302.50	317.70	317.10	8.50	9.00	3.70	10.90	320.90	309.70	336.30	307.80	295.10	297.00	274.70	280.10	237.50	294.80	321.50	20.73761936	-158.05432434	20.70516748	-158.06281387
19	15	07	08	06	56	46	47		27	24	23	21	20	18	18	20	26	32	37	39	39	38	35	32	30	27	25	22	21	19	18	18	17	16	16	16	15	14	-22	-63	-62	-33	-22	6	-32	-21	-36	-10	-17	-28	-4	10	14	40	60	73	2	25	-24	-43	-95	-1	-27	-44	-58	-10	15	8	51	75	73	9	29	25	74	8	-15	-37	-20	-5	-5	23	38	34	31	73	57	60	38	46	62	13	34	12	68	63	33	199	56	98	96	34	36	26	81	22	39	38	26	28	6	25	40	52	68	103	57	65	45	63	113	13	43	46	89	64	36	199	336.70	320.00	319.70	285.30	322.80	13.50	336.60	290.90	247.40	195.10	220.40	259.90	218.70	23.50	20.20	49.60	62.70	45.00	2.00	22.60	327.70	316.90	303.10	355.60	321.50	285.30	319.50	351.00	24.40	2.30	20.70510613	-158.06282703	20.67140384	-158.06656301
20	15	07	08	07	16	48	16		32	26	22	20	20	20	20	20	21	24	29	34	37	38	37	35	32	30	27	24	22	20	18	17	16	15	14	14	13	13	22	7	-22	-20	-3	38	15	31	-3	-3	-34	-13	13	4	17	14	37	25	24	6	-14	-8	-3	33	6	-27	58	-60	46	-53	-113	-96	-118	-88	-92	-61	-57	-54	-66	-97	-109	-128	-90	-84	-36	-18	-23	19	11	0	-14	4	-28	-8	-28	-56	-90	52	40	52	115	96	120	90	92	72	59	62	66	97	114	129	91	84	40	23	44	31	26	6	20	9	28	34	29	62	107	79	61	74	169.00	175.80	190.60	192.80	181.90	148.10	165.30	150.10	182.60	181.80	197.30	185.80	171.80	177.30	154.70	142.10	121.90	52.80	65.40	90.00	225.00	296.60	186.10	103.60	167.90	205.70	147.20	310.90	49.00	314.50	20.67134801	-158.06655698	20.63943266	-158.06690332
21	15	07	08	07	36	49	89		33	31	26	21	20	18	18	18	18	22	27	33	37	39	38	37	34	32	28	25	23	22	20	18	16	16	14	14	13	13	64	79	49	18	-1	-18	-32	1	-39	-19	-49	-40	-5	-32	-1	7	12	2	10	2	12	7	64	27	81	-23	5	-5	-8	219	-166	-152	-172	-152	-198	-145	-115	-74	-77	-116	-110	-100	-109	-89	-67	-54	-44	-5	-18	-31	-28	-46	-31	-19	-48	-45	-178	-12	-8	-182	178	171	179	153	198	146	119	74	86	118	120	108	109	95	67	54	46	5	21	31	30	47	71	33	94	51	178	13	11	285	158.90	152.50	164.10	173.20	180.30	187.10	195.50	179.20	206.90	189.30	204.00	201.80	182.60	199.80	180.90	172.60	164.70	158.20	150.90	176.30	156.80	171.30	115.80	125.10	120.70	207.10	178.40	202.60	225.00	129.70	20.63938136	-158.06690767	20.60732285	-158.07052463
22	15	07	08	07	56	51	59		28	27	24	21	19	17	17	16	18	22	29	35	39	39	38	36	34	32	30	28	25	22	20	18	16	15	14	14	13	13	43	62	55	12	-1	-47	-14	-21	-76	-102	-62	-61	-53	-53	-65	-76	-52	-60	-58	-34	-10	27	41	13	-41	12	-21	-97	-28	-51	-114	-129	-151	-155	-204	-122	-164	-125	-85	-90	-95	-84	-74	-72	-67	-29	-43	-59	-60	-70	-57	-35	-50	-29	-58	-53	68	-53	2	167	122	143	161	155	204	131	165	127	114	136	113	104	91	89	93	81	67	84	83	78	58	44	65	32	71	54	71	111	28	175	159.30	154.30	160.00	175.60	180.30	201.10	184.90	189.50	221.80	228.60	213.10	216.00	215.60	216.40	224.10	249.10	230.40	225.50	224.00	205.90	190.00	142.40	140.60	155.90	215.30	167.20	342.80	241.30	274.10	343.00	20.60727817	-158.07054031	20.57865883	-158.07430931
23	15	07	08	08	16	46	39		30	27	23	20	19	18	18	19	22	26	32	36	38	39	38	36	34	31	28	25	23	21	19	17	15	14	13	13	13	12	37	83	44	37	59	33	55	10	-39	-79	-94	-67	-48	-58	-41	-48	-37	-6	-7	6	7	7	44	6	18	-23	2	-45	-86	94	-81	-85	-81	-73	-65	-48	-36	9	-31	-6	-1	-9	0	-2	23	18	-2	-10	1	16	3	15	36	34	46	-16	74	-47	-57	-19	89	119	92	82	88	58	66	13	50	79	94	68	48	58	47	51	37	12	7	17	8	17	57	35	49	28	74	65	103	96	155.40	135.70	151.50	153.10	137.80	145.50	123.20	48.00	231.50	265.70	269.40	262.30	270.00	268.00	299.30	290.60	266.90	211.00	278.10	20.60	66.80	25.00	50.70	10.00	21.40	235.20	1.50	223.80	236.50	101.40	20.57861315	-158.07432784	20.55398117	-158.07982620
