"Series Data"
"E:\S261\Data\ADCP\S261001_000000.LTA"
"Broadband 76.8 kHz"
"Pings/Ens ="	174
"Time/Ping = 00:02.00"
"First Ensemble Date = 15/07/08"
"First Ensemble Time = 00:56:46.33"
"Ensemble Interval (s) = "	1200.00
"1st Bin Range (m) = "	18.68
"Bin Size (m) ="	10.00


Ens	YR	MO	DA	HH	MM	SS	HH		"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	    "FLat"	    "FLon"	    "LLat"	    "LLon"
									"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	     "deg"	     "deg"	     "deg"	     "deg"
									31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60

1	15	07	08	00	56	46	33		58	58	57	57	56	54	51	48	44	41	37	32	30	28	26	24	22	21	21	20	21	21	20	20	20	19	18	18	18	17	-400	-378	-389	-436	-433	-415	-287	-307	-290	-329	-374	-402	-420	-450	-550	-629	-595	-712	-650	-628	-677	-740	-728	-828	-842	-859	-485	-791	-789	-912	-1204	-1256	-1296	-1298	-1271	-1178	-1100	-1073	-1121	-1257	-1273	-1335	-1442	-1415	-1352	-1258	-1216	-1261	-1311	-1255	-1294	-1240	-1306	-1350	-1365	-1417	-1463	-1348	-1145	-1301	1269	1312	1353	1369	1343	1249	1137	1116	1158	1299	1327	1394	1502	1485	1460	1406	1354	1448	1463	1403	1460	1444	1495	1584	1604	1657	1541	1563	1391	1589	198.40	196.70	196.70	198.60	198.80	199.40	194.60	196.00	194.50	194.70	196.40	196.80	196.20	197.60	202.10	206.60	206.10	209.50	206.40	206.60	207.60	210.80	209.10	211.50	211.70	211.20	198.30	210.40	214.60	215.00	21.28549115	-157.87569735	21.26299798	-157.88444747
2	15	07	08	01	16	48	28		18	18	19	21	23	26	29	34	39	46	53	60	69	76	80	80	79	72	64	55	47	40	34	28	22	18	15	13	12	12	-104	-105	-15	-34	-65	-55	-63	-21	-43	-62	-12	-104	-315	-151	-254	-365	-199	-102	-63	-85	37	72	242	332	780	1201					-12	-29	-73	-148	-238	-348	-514	-811	-863	-846	-883	-836	-614	-585	-727	-678	-428	-375	-285	-222	-67	163	343	398	151	310					105	109	75	152	247	352	518	811	864	848	883	842	690	604	770	770	472	389	292	238	77	178	420	518	794	1240					263.40	254.60	191.60	192.90	195.30	189.00	187.00	181.50	182.90	184.20	180.80	187.10	207.20	194.50	199.30	208.30	204.90	195.20	192.50	201.00	151.10	23.80	35.20	39.80	79.00	75.50					21.26295263	-157.88446952	21.23230319	-157.89065218
3	15	07	08	01	36	50	94		29	29	28	27	25	23	22	23	24	26	27	29	31	34	38	41	53	70	80	80	76	71	66	57	44	32	23	18	15	14	-121	-94	-68	-77	-34	-65	-48	-94	-96	-123	-49	85	-121	-314	-480	-469	-503	-356	-241	-98	-38	-7	5	38	95	649	996				106	143	134	150	135	144	139	73	78	64	-48	-284	-468	-604	-799	-1139	-1043	-724	-370	-108	39	176	268	203	194	-116	-689				161	171	150	169	139	158	147	119	124	139	69	296	483	681	932	1232	1158	807	442	146	54	176	268	207	216	659	1211				311.20	326.70	333.10	332.80	345.90	335.70	340.90	307.80	309.10	297.50	225.60	163.30	194.50	207.50	211.00	202.40	205.70	206.20	213.10	222.20	315.70	357.70	1.10	10.60	26.10	100.10	124.70				21.23222985	-157.89067900	21.19502435	-157.90495103
4	15	07	08	01	56	52	92		29	28	28	27	26	25	25	25	25	25	24	24	25	27	30	31	36	48	62	68	69	64	60	56	50	43	36	29	23	19	-157	-153	-160	-150	-156	-126	-128	-91	-109	-82	-38	100	-40	-312	-179	-189	-369	-379	-322	-205	-105	-61	-19	7	76	79	-580	-1077	-627	-2234	126	123	147	105	95	91	91	86	142	142	122	-36	-166	-336	-466	-547	-542	-508	-489	-345	-166	18	190	213	231	332	-1044	-1148	-1119	-3126	201	196	217	183	183	155	157	125	179	164	128	106	171	459	499	579	656	634	585	401	196	64	191	213	243	341	1194	1574	1283	3842	308.70	308.80	312.60	305.00	301.30	305.80	305.40	313.40	322.50	330.00	342.70	109.80	193.50	222.90	201.00	199.10	214.20	216.70	213.40	210.70	212.30	286.40	354.30	1.90	18.20	13.40	209.10	223.20	209.30	215.60	21.19495897	-157.90498313	21.15194765	-157.92048630
5	15	07	08	02	16	47	70		30	30	30	29	28	27	26	27	28	28	28	29	30	30	32	33	34	34	37	45	55	63	67	68	64	56	46	35	26	21	-106	-106	-81	-86	-78	-77	-47	-4	12	13	3	-17	-58	-80	-133	-164	-210	-267	-273	-294	-295	-235	-200	-92	-18	22	8	-109	-803	-3363	75	71	59	42	65	63	72	78	146	166	182	175	170	156	162	157	191	205	258	250	241	210	144	15	-69	-93	-38	17	363	678	130	128	100	96	102	99	86	78	146	167	182	176	180	175	210	227	284	337	376	386	381	315	246	93	71	96	39	110	881	3431	305.30	303.80	306.10	296.00	309.80	309.30	326.90	357.10	4.70	4.50	0.90	354.50	341.20	332.90	320.60	313.80	312.30	307.50	313.40	310.40	309.20	311.80	305.80	279.30	194.60	166.70	168.10	278.90	294.30	281.40	21.15188219	-157.92054665	21.17335914	-157.94442183
6	15	07	08	02	36	49	39		30	29	28	26	27	28	29	30	31	32	32	32	33	36	40	46	51	56	62	69	74	79	83	85	84	78	66	50	36	26	34	-9	-14	-42	-27	32	47	53	64	47	45	60	53	-79	-256	-442	-523	-538	-536	-466	-364	-281	-234	-144	11	86	157	264	260	324	137	119	115	122	118	119	116	124	147	170	134	23	-114	-438	-693	-807	-759	-716	-517	-411	-293	-142	-92	-44	-24	-17	45	-60	-49	-327	141	119	116	129	121	123	125	135	160	176	141	64	126	445	739	920	922	896	745	621	467	315	251	151	26	88	163	271	265	460	13.90	355.70	353.10	341.00	347.10	15.10	22.10	23.10	23.50	15.50	18.60	69.00	155.10	190.20	200.30	208.70	214.60	216.90	226.00	228.60	231.20	243.20	248.50	253.00	155.40	101.20	74.00	102.80	100.70	135.30	21.17337163	-157.94448134	21.15315615	-157.96228216
7	15	07	08	02	56	51	11		30	29	28	27	26	25	26	27	28	29	30	30	30	32	33	38	47	56	64	69	72	72	72	74	75	73	65	54	43	33	-63	-55	-44	-48	-69	-76	-69	-3	14	42	23	44	44	130	105	-87	-375	-598	-516	-751	-858	-676	-311	-146	-45	29	149	247	307	120	48	37	35	34	76	63	81	81	46	67	70	75	44	-90	-370	-710	-966	-1024	-944	-842	-688	-730	-560	-346	-185	-60	7	-14	-192	-258	79	66	56	59	103	99	106	81	48	79	74	87	62	158	385	715	1036	1186	1076	1128	1100	995	641	376	190	67	149	247	362	285	307.30	303.90	308.50	305.30	317.80	309.70	319.60	357.90	16.90	32.10	18.20	30.40	45.00	124.70	164.20	187.00	201.20	210.30	208.70	221.70	231.30	222.80	209.00	202.90	193.70	154.20	87.30	93.20	122.00	155.10	21.15310318	-157.96230471	21.12437563	-157.97865830
