Cruise	Station	Type	mon/day/yr	Lon (°E)	Lat (°N)	Bot. Depth [m]	Depth [m]	QF	Echo Amplitude [counts]	QF	East Component [mm/s]	QF	North Component [mm/s]	QF	Magnitude [mm/s]	QF	Direction [deg]	QF	Ensemble	QF	hh:mm
S254	003-1	C	7/4/2014	-159.3245955	17.76876854		318.68	1	31	1	-45	1	-22	1	50	1	243.9	1	1	1	17:10
S254	003-1	C	7/4/2014	-159.3245955	17.76876854		328.68	1	30	1	-19	1	-8	1	21	1	247.2	1	1	1	17:10
S254	003-1	C	7/4/2014	-159.3245955	17.76876854		338.68	1	30	1	-31	1	-5	1	31	1	260.8	1	1	1	17:10
S254	003-1	C	7/4/2014	-159.3245955	17.76876854		348.68	1	31	1	-24	1	-18	1	30	1	233.1	1	1	1	17:10
S254	003-1	C	7/4/2014	-159.3245955	17.76876854		358.68	1	32	1	-38	1	-13	1	40	1	251.1	1	1	1	17:10
S254	003-1	C	7/4/2014	-159.3245955	17.76876854		368.68	1	32	1	-60	1	1	1	60	1	271	1	1	1	17:10
S254	003-1	C	7/4/2014	-159.3245955	17.76876854		378.68	1	32	1	-40	1	19	1	44	1	295.4	1	1	1	17:10
S254	003-1	C	7/4/2014	-159.3245955	17.76876854		388.68	1	34	1	-50	1	-14	1	52	1	254.4	1	1	1	17:10
S254	003-1	C	7/4/2014	-159.3245955	17.76876854		398.68	1	36	1	-92	1	-39	1	100	1	247	1	1	1	17:10
S254	003-1	C	7/4/2014	-159.3245955	17.76876854		408.68	1	37	1	-69	1	-50	1	85	1	234.1	1	1	1	17:10
S254	003-1	C	7/4/2014	-159.3245955	17.76876854		418.68	1	37	1	-78	1	-50	1	93	1	237.3	1	1	1	17:10
S254	003-1	C	7/4/2014	-159.3245955	17.76876854		428.68	1	38	1	-98	1	-12	1	99	1	263	1	1	1	17:10
S254	003-1	C	7/4/2014	-159.3245955	17.76876854		438.68	1	38	1	-123	1	3	1	123	1	271.4	1	1	1	17:10
S254	003-1	C	7/4/2014	-159.3245955	17.76876854		448.68	1	38	1	-118	1	6	1	118	1	272.9	1	1	1	17:10
S254	003-1	C	7/4/2014	-159.3245955	17.76876854		458.68	1	38	1	-107	1	23	1	109	1	282.1	1	1	1	17:10
S254	003-1	C	7/4/2014	-159.3245955	17.76876854		468.68	1	35	1	-83	1	37	1	91	1	294	1	1	1	17:10
S254	003-1	C	7/4/2014	-159.3245955	17.76876854		478.68	1	34	1	-84	1	50	1	98	1	300.8	1	1	1	17:10
S254	003-1	C	7/4/2014	-159.3245955	17.76876854		488.68	1	32	1	-50	1	58	1	77	1	319.2	1	1	1	17:10
S254	003-1	C	7/4/2014	-159.3245955	17.76876854		498.68	1	31	1	-72	1	57	1	92	1	308.4	1	1	1	17:10
S254	003-1	C	7/4/2014	-159.3245955	17.76876854		508.68	1	29	1	-43	1	46	1	63	1	316.9	1	1	1	17:10
S254	003-1	C	7/4/2014	-159.3245955	17.76876854		518.68	1	28	1	-59	1	37	1	70	1	302.1	1	1	1	17:10
S254	003-1	C	7/4/2014	-159.3245955	17.76876854		528.68	1	26	1	-53	1	47	1	71	1	311.6	1	1	1	17:10
S254	003-1	C	7/4/2014	-159.3245955	17.76876854		538.68	1	24	1	-29	1	56	1	63	1	332.6	1	1	1	17:10
S254	003-1	C	7/4/2014	-159.3245955	17.76876854		548.68	1	22	1	-24	1	31	1	39	1	322.3	1	1	1	17:10
