Cruise	Station	Type	mon/day/yr	Lon (°E)	Lat (°N)	Bot. Depth [m]	Depth [m]	QF	Echo Amplitude [counts]	QF	East Component [mm/s]	QF	North Component [mm/s]	QF	Magnitude [mm/s]	QF	Direction [deg]	QF	Ensemble	QF	hh:mm
S254	007-1	C	7/17/2014	-171.1134082	-3.12466663		18.7	1	128	1	-414	1	-415	1	586	1	224.9	1	1	1	22:02
S254	007-1	C	7/17/2014	-171.1134082	-3.12466663		28.7	1	122	1	-407	1	-374	1	553	1	227.4	1	1	1	22:02
S254	007-1	C	7/17/2014	-171.1134082	-3.12466663		38.7	1	118	1	-409	1	-355	1	542	1	229	1	1	1	22:02
S254	007-1	C	7/17/2014	-171.1134082	-3.12466663		48.7	1	114	1	-419	1	-366	1	556	1	228.9	1	1	1	22:02
S254	007-1	C	7/17/2014	-171.1134082	-3.12466663		58.7	1	112	1	-414	1	-367	1	553	1	228.4	1	1	1	22:02
S254	007-1	C	7/17/2014	-171.1134082	-3.12466663		68.7	1	112	1	-425	1	-346	1	548	1	230.9	1	1	1	22:02
S254	007-1	C	7/17/2014	-171.1134082	-3.12466663		78.7	1	111	1	-413	1	-297	1	509	1	234.3	1	1	1	22:02
S254	007-1	C	7/17/2014	-171.1134082	-3.12466663		88.7	1	110	1	-390	1	-238	1	457	1	238.6	1	1	1	22:02
S254	007-1	C	7/17/2014	-171.1134082	-3.12466663		98.7	1	110	1	-332	1	-177	1	376	1	241.9	1	1	1	22:02
S254	007-1	C	7/17/2014	-171.1134082	-3.12466663		108.7	1	108	1	-206	1	-102	1	230	1	243.7	1	1	1	22:02
S254	007-1	C	7/17/2014	-171.1134082	-3.12466663		118.7	1	110	1	-59	1	5	1	59	1	274.8	1	1	1	22:02
S254	007-1	C	7/17/2014	-171.1134082	-3.12466663		128.7	1	109	1	-28	1	78	1	83	1	340.3	1	1	1	22:02
S254	007-1	C	7/17/2014	-171.1134082	-3.12466663		138.7	1	106	1	-84	1	-25	1	88	1	253.4	1	1	1	22:02
S254	007-1	C	7/17/2014	-171.1134082	-3.12466663		148.7	1	105	1	-58	1	-151	1	162	1	201	1	1	1	22:02
S254	007-1	C	7/17/2014	-171.1134082	-3.12466663		158.7	1	100	1	-53	1	-139	1	149	1	200.9	1	1	1	22:02
S254	007-1	C	7/17/2014	-171.1134082	-3.12466663		168.7	1	92	1	-43	1	-94	1	103	1	204.6	1	1	1	22:02
S254	007-1	C	7/17/2014	-171.1134082	-3.12466663		178.7	1	83	1	-23	1	-93	1	96	1	193.9	1	1	1	22:02
S254	007-1	C	7/17/2014	-171.1134082	-3.12466663		188.7	1	77	1	-1	1	-107	1	107	1	180.5	1	1	1	22:02
S254	007-1	C	7/17/2014	-171.1134082	-3.12466663		198.7	1	72	1	-8	1	-65	1	65	1	187	1	1	1	22:02
S254	007-1	C	7/17/2014	-171.1134082	-3.12466663		208.7	1	68	1	-53	1	2	1	53	1	272.2	1	1	1	22:02
S254	007-1	C	7/17/2014	-171.1134082	-3.12466663		218.7	1	65	1	-109	1	17	1	110	1	278.9	1	1	1	22:02
S254	007-1	C	7/17/2014	-171.1134082	-3.12466663		228.7	1	62	1	-106	1	7	1	106	1	273.8	1	1	1	22:02
S254	007-1	C	7/17/2014	-171.1134082	-3.12466663		238.7	1	57	1	-92	1	-39	1	100	1	247	1	1	1	22:02
S254	007-1	C	7/17/2014	-171.1134082	-3.12466663		248.7	1	51	1	-77	1	-24	1	81	1	252.7	1	1	1	22:02
S254	007-1	C	7/17/2014	-171.1134082	-3.12466663		258.7	1	45	1	-71	1	-19	1	73	1	255	1	1	1	22:02
S254	007-1	C	7/17/2014	-171.1134082	-3.12466663		268.7	1	39	1	-31	1	-19	1	36	1	238.5	1	1	1	22:02
S254	007-1	C	7/17/2014	-171.1134082	-3.12466663		278.7	1	34	1	-10	1	-32	1	34	1	197.4	1	1	1	22:02
S254	007-1	C	7/17/2014	-171.1134082	-3.12466663		288.7	1	30	1	15	1	-32	1	35	1	154.9	1	1	1	22:02
S254	007-1	C	7/17/2014	-171.1134082	-3.12466663		298.7	1	28	1	20	1	-43	1	47	1	155.1	1	1	1	22:02
S254	007-1	C	7/17/2014	-171.1134082	-3.12466663		308.7	1	26	1	24	1	-51	1	56	1	154.8	1	1	1	22:02
S254	007-2	C	7/17/2014	-171.1201038	-3.139456		18.7	1	125	1	-256	1	-300	1	394	1	220.5	1	2	1	22:22
S254	007-2	C	7/17/2014	-171.1201038	-3.139456		28.7	1	116	1	-251	1	-252	1	356	1	224.9	1	2	1	22:22
S254	007-2	C	7/17/2014	-171.1201038	-3.139456		38.7	1	114	1	-259	1	-206	1	331	1	231.5	1	2	1	22:22
S254	007-2	C	7/17/2014	-171.1201038	-3.139456		48.7	1	112	1	-250	1	-175	1	305	1	235	1	2	1	22:22
S254	007-2	C	7/17/2014	-171.1201038	-3.139456		58.7	1	112	1	-238	1	-91	1	255	1	249.1	1	2	1	22:22
S254	007-2	C	7/17/2014	-171.1201038	-3.139456		68.7	1	109	1	-208	1	-63	1	217	1	253.1	1	2	1	22:22
S254	007-2	C	7/17/2014	-171.1201038	-3.139456		78.7	1	106	1	-187	1	-20	1	188	1	263.9	1	2	1	22:22
S254	007-2	C	7/17/2014	-171.1201038	-3.139456		88.7	1	103	1	-160	1	-60	1	171	1	249.4	1	2	1	22:22
S254	007-2	C	7/17/2014	-171.1201038	-3.139456		98.7	1	104	1	-71	1	-115	1	135	1	211.7	1	2	1	22:22
S254	007-2	C	7/17/2014	-171.1201038	-3.139456		108.7	1	108	1	23	1	-92	1	95	1	166	1	2	1	22:22
S254	007-2	C	7/17/2014	-171.1201038	-3.139456		118.7	1	110	1	70	1	-59	1	92	1	130.1	1	2	1	22:22
S254	007-2	C	7/17/2014	-171.1201038	-3.139456		128.7	1	106	1	53	1	10	1	54	1	79.3	1	2	1	22:22
S254	007-2	C	7/17/2014	-171.1201038	-3.139456		138.7	1	102	1	20	1	-132	1	134	1	171.4	1	2	1	22:22
S254	007-2	C	7/17/2014	-171.1201038	-3.139456		148.7	1	99	1	28	1	-244	1	246	1	173.5	1	2	1	22:22
S254	007-2	C	7/17/2014	-171.1201038	-3.139456		158.7	1	92	1	9	1	-250	1	250	1	177.9	1	2	1	22:22
S254	007-2	C	7/17/2014	-171.1201038	-3.139456		168.7	1	84	1	16	1	-186	1	187	1	175.1	1	2	1	22:22
S254	007-2	C	7/17/2014	-171.1201038	-3.139456		178.7	1	76	1	24	1	-158	1	160	1	171.4	1	2	1	22:22
S254	007-2	C	7/17/2014	-171.1201038	-3.139456		188.7	1	73	1	3	1	-223	1	223	1	179.2	1	2	1	22:22
S254	007-2	C	7/17/2014	-171.1201038	-3.139456		198.7	1	70	1	-2	1	-244	1	244	1	180.5	1	2	1	22:22
S254	007-2	C	7/17/2014	-171.1201038	-3.139456		208.7	1	66	1	2	1	-177	1	177	1	179.4	1	2	1	22:22
S254	007-2	C	7/17/2014	-171.1201038	-3.139456		218.7	1	60	1	-47	1	-137	1	145	1	198.9	1	2	1	22:22
S254	007-2	C	7/17/2014	-171.1201038	-3.139456		228.7	1	57	1	-102	1	-130	1	165	1	218.1	1	2	1	22:22
S254	007-2	C	7/17/2014	-171.1201038	-3.139456		238.7	1	53	1	-113	1	-159	1	195	1	215.4	1	2	1	22:22
S254	007-2	C	7/17/2014	-171.1201038	-3.139456		248.7	1	48	1	-100	1	-174	1	201	1	209.9	1	2	1	22:22
S254	007-2	C	7/17/2014	-171.1201038	-3.139456		258.7	1	42	1	-81	1	-133	1	156	1	211.3	1	2	1	22:22
S254	007-2	C	7/17/2014	-171.1201038	-3.139456		268.7	1	38	1	-55	1	-120	1	132	1	204.6	1	2	1	22:22
S254	007-2	C	7/17/2014	-171.1201038	-3.139456		278.7	1	32	1	-15	1	-132	1	133	1	186.5	1	2	1	22:22
S254	007-2	C	7/17/2014	-171.1201038	-3.139456		288.7	1	28	1	-22	1	-123	1	125	1	190.1	1	2	1	22:22
S254	007-2	C	7/17/2014	-171.1201038	-3.139456		298.7	1	25	1	43	1	-115	1	123	1	159.5	1	2	1	22:22
S254	007-2	C	7/17/2014	-171.1201038	-3.139456		308.7	1	24	1	44	1	-108	1	117	1	157.8	1	2	1	22:22
