Cruise	Station	Type	mon/day/yr	Lon (°E)	Lat (°N)	Bot. Depth [m]	Depth [m]	QF	Echo Amplitude [counts]	QF	East Component [mm/s]	QF	North Component [mm/s]	QF	Magnitude [mm/s]	QF	Direction [deg]	QF	Ensemble	QF	hh:mm
S254	022-1	C	8/5/2014	-174.574124	-4.69970721		318.73	1	32	1	-118	1	79	1	142	1	303.8	1	1	1	11:03
S254	022-1	C	8/5/2014	-174.574124	-4.69970721		328.73	1	31	1	-115	1	73	1	136	1	302.4	1	1	1	11:03
S254	022-1	C	8/5/2014	-174.574124	-4.69970721		338.73	1	30	1	-104	1	85	1	134	1	309.3	1	1	1	11:03
S254	022-1	C	8/5/2014	-174.574124	-4.69970721		348.73	1	28	1	-67	1	82	1	106	1	320.7	1	1	1	11:03
S254	022-1	C	8/5/2014	-174.574124	-4.69970721		358.73	1	26	1	-56	1	19	1	59	1	288.7	1	1	1	11:03
S254	022-1	C	8/5/2014	-174.574124	-4.69970721		368.73	1	24	1	-27	1	38	1	47	1	324.6	1	1	1	11:03
S254	022-1	C	8/5/2014	-174.574124	-4.69970721		378.73	1	22	1	-26	1	40	1	48	1	327	1	1	1	11:03
S254	022-1	C	8/5/2014	-174.574124	-4.69970721		388.73	1	22	1	-2	1	10	1	10	1	348.7	1	1	1	11:03
S254	022-1	C	8/5/2014	-174.574124	-4.69970721		398.73	1	22	1	10	1	33	1	34	1	16.9	1	1	1	11:03
S254	022-1	C	8/5/2014	-174.574124	-4.69970721		408.73	1	20	1	0	1	14	1	14	1	0	1	1	1	11:03
S254	022-1	C	8/5/2014	-174.574124	-4.69970721		418.73	1	20	1	-8	1	79	1	79	1	354.2	1	1	1	11:03
S254	022-1	C	8/5/2014	-174.574124	-4.69970721		428.73	1	20	1	-51	1	73	1	89	1	325.1	1	1	1	11:03
S254	022-1	C	8/5/2014	-174.574124	-4.69970721		438.73	1	22	1	-36	1	68	1	77	1	332.1	1	1	1	11:03
S254	022-1	C	8/5/2014	-174.574124	-4.69970721		448.73	1	24	1	-37	1	102	1	109	1	340.1	1	1	1	11:03
S254	022-1	C	8/5/2014	-174.574124	-4.69970721		458.73	1	26	1	-39	1	101	1	108	1	338.9	1	1	1	11:03
S254	022-1	C	8/5/2014	-174.574124	-4.69970721		468.73	1	28	1	-44	1	92	1	102	1	334.4	1	1	1	11:03
S254	022-1	C	8/5/2014	-174.574124	-4.69970721		478.73	1	29	1	-39	1	109	1	116	1	340.3	1	1	1	11:03
S254	022-1	C	8/5/2014	-174.574124	-4.69970721		488.73	1	28	1	-20	1	121	1	123	1	350.6	1	1	1	11:03
S254	022-1	C	8/5/2014	-174.574124	-4.69970721		498.73	1	26	1	-8	1	121	1	121	1	356.2	1	1	1	11:03
S254	022-1	C	8/5/2014	-174.574124	-4.69970721		508.73	1	24	1	-3	1	126	1	126	1	358.6	1	1	1	11:03
S254	022-1	C	8/5/2014	-174.574124	-4.69970721		518.73	1	24	1	-27	1	109	1	112	1	346.1	1	1	1	11:03
S254	022-1	C	8/5/2014	-174.574124	-4.69970721		528.73	1	22	1	5	1	112	1	112	1	2.6	1	1	1	11:03
S254	022-1	C	8/5/2014	-174.574124	-4.69970721		538.73	1	20	1	-47	1	102	1	112	1	335.3	1	1	1	11:03
S254	022-1	C	8/5/2014	-174.574124	-4.69970721		548.73	1	19	1	5	1	91	1	91	1	3.1	1	1	1	11:03
S254	022-1	C	8/5/2014	-174.574124	-4.69970721		558.73	1	17	1	-6	1	50	1	50	1	353.2	1	1	1	11:03
S254	022-1	C	8/5/2014	-174.574124	-4.69970721		568.73	1	16	1	22	1	63	1	67	1	19.2	1	1	1	11:03
S254	022-1	C	8/5/2014	-174.574124	-4.69970721		578.73	1	14	1	-35	1	72	1	80	1	334.1	1	1	1	11:03
S254	022-1	C	8/5/2014	-174.574124	-4.69970721		588.73	1	14	1	-154	1	157	1	220	1	315.6	1	1	1	11:03
S254	022-1	C	8/5/2014	-174.574124	-4.69970721		598.73	1	14	1	513	1	-367	1	631	1	125.6	1	1	1	11:03
S254	022-1	C	8/5/2014	-174.574124	-4.69970721		608.73	1	13	1	12	1	-85	1	86	1	172	1	1	1	11:03
S254	022-2	C	8/5/2014	-174.5803001	-4.70130513		318.73	1	32	1	-140	1	32	1	144	1	282.9	1	2	1	11:23
S254	022-2	C	8/5/2014	-174.5803001	-4.70130513		328.73	1	30	1	-139	1	15	1	140	1	276.2	1	2	1	11:23
S254	022-2	C	8/5/2014	-174.5803001	-4.70130513		338.73	1	28	1	-116	1	6	1	116	1	273	1	2	1	11:23
S254	022-2	C	8/5/2014	-174.5803001	-4.70130513		348.73	1	26	1	-87	1	-25	1	91	1	254	1	2	1	11:23
S254	022-2	C	8/5/2014	-174.5803001	-4.70130513		358.73	1	25	1	-82	1	-25	1	86	1	253	1	2	1	11:23
S254	022-2	C	8/5/2014	-174.5803001	-4.70130513		368.73	1	24	1	-55	1	-23	1	60	1	247.3	1	2	1	11:23
S254	022-2	C	8/5/2014	-174.5803001	-4.70130513		378.73	1	22	1	-51	1	-26	1	57	1	243	1	2	1	11:23
S254	022-2	C	8/5/2014	-174.5803001	-4.70130513		388.73	1	21	1	-25	1	4	1	25	1	279.1	1	2	1	11:23
S254	022-2	C	8/5/2014	-174.5803001	-4.70130513		398.73	1	20	1	-6	1	-8	1	10	1	216.9	1	2	1	11:23
