Cruise	Station	Type	mon/day/yr	Lon (°E)	Lat (°N)	Bot. Depth [m]	Depth [m]	QF	Echo Amplitude [counts]	QF	East Component [mm/s]	QF	North Component [mm/s]	QF	Magnitude [mm/s]	QF	Direction [deg]	QF	Ensemble	QF	hh:mm
S254	001-1	C	7/3/2014	-157.8664563	21.28011969		318.68	1	54	1	-604	1	-1685	1	1790	1	199.7	1	1	1	0:25
S254	001-1	C	7/3/2014	-157.8664563	21.28011969		328.68	1	54	1	-595	1	-1759	1	1857	1	198.7	1	1	1	0:25
S254	001-1	C	7/3/2014	-157.8664563	21.28011969		338.68	1	54	1	-684	1	-1757	1	1885	1	201.3	1	1	1	0:25
S254	001-1	C	7/3/2014	-157.8664563	21.28011969		348.68	1	53	1	-696	1	-1877	1	2002	1	200.3	1	1	1	0:25
S254	001-1	C	7/3/2014	-157.8664563	21.28011969		358.68	1	54	1	-1102	1	-2171	1	2435	1	206.9	1	1	1	0:25
S254	001-1	C	7/3/2014	-157.8664563	21.28011969		368.68	1	54	1	-1360	1	-1704	1	2180	1	218.6	1	1	1	0:25
S254	001-1	C	7/3/2014	-157.8664563	21.28011969		378.68	1	53	1	-506	1	-1873	1	1940	1	195.1	1	1	1	0:25
S254	001-1	C	7/3/2014	-157.8664563	21.28011969		388.68	1	54	1	-1195	1	-1597	1	1995	1	216.8	1	1	1	0:25
S254	001-1	C	7/3/2014	-157.8664563	21.28011969		398.68	1	53	1	-894	1	-2874	1	3010	1	197.3	1	1	1	0:25
S254	001-1	C	7/3/2014	-157.8664563	21.28011969		408.68	1	53	1		1		1		1		1	1	1	0:25
S254	001-1	C	7/3/2014	-157.8664563	21.28011969		418.68	1	53	1		1		1		1		1	1	1	0:25
S254	001-1	C	7/3/2014	-157.8664563	21.28011969		428.68	1	53	1		1		1		1		1	1	1	0:25
S254	001-1	C	7/3/2014	-157.8664563	21.28011969		438.68	1	54	1		1		1		1		1	1	1	0:25
S254	001-1	C	7/3/2014	-157.8664563	21.28011969		448.68	1	53	1		1		1		1		1	1	1	0:25
S254	001-1	C	7/3/2014	-157.8664563	21.28011969		458.68	1	53	1		1		1		1		1	1	1	0:25
S254	001-1	C	7/3/2014	-157.8664563	21.28011969		468.68	1	53	1		1		1		1		1	1	1	0:25
S254	001-1	C	7/3/2014	-157.8664563	21.28011969		478.68	1	53	1		1		1		1		1	1	1	0:25
