"Series Data"
"D:\S-254\Data\ADCP\S254019_000000.LTA"
"Broadband 76.8 kHz"
"Pings/Ens ="	174
"Time/Ping = 00:02.00"
"First Ensemble Date = 14/08/05"
"First Ensemble Time = 06:53:42.94"
"Ensemble Interval (s) = "	1200.32
"1st Bin Range (m) = "	18.73
"Bin Size (m) ="	10.00


Ens	YR	MO	DA	HH	MM	SS	HH		"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	    "FLat"	    "FLon"	    "LLat"	    "LLon"
									"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	     "deg"	     "deg"	     "deg"	     "deg"
									1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30

1	14	08	05	06	53	42	94		162	148	140	134	128	124	117	112	109	110	110	107	102	101	100	100	93	82	68	61	58	56	51	46	44	43	42	41	39	37	615	608	654	687	651	641	613	609	578	646	684	699	703	671	630	600	591	568	532	489	489	484	514	539	579	634	654	650	627	618	-486	-484	-458	-448	-457	-454	-471	-442	-374	-341	-326	-229	-317	-465	-404	-419	-458	-421	-370	-420	-395	-355	-334	-307	-320	-326	-337	-356	-317	-315	784	777	798	820	795	785	773	752	688	730	758	736	771	816	748	732	748	707	648	645	629	600	613	620	662	713	736	741	703	694	128.30	128.50	125.00	123.10	125.10	125.30	127.50	126.00	122.90	117.80	115.50	108.10	114.30	124.70	122.70	124.90	127.80	126.50	124.80	130.70	128.90	126.30	123.00	119.70	118.90	117.20	117.30	118.70	116.80	117.00	-4.70146003	-174.54113804	-4.70408550	-174.53898783
2	14	08	05	07	13	44	64		160	148	140	134	128	125	120	113	107	105	106	106	103	100	100	100	95	84	72	63	61	59	53	47	43	42	40	39	40	40	623	647	669	688	693	684	678	654	653	627	708	745	792	821	797	755	745	705	659	603	568	566	585	608	664	707	733	733	742	749	-398	-401	-396	-398	-403	-400	-403	-397	-371	-281	-368	-328	-306	-501	-546	-466	-497	-445	-398	-430	-402	-371	-329	-302	-296	-320	-327	-324	-297	-278	739	761	777	795	802	792	789	765	751	687	798	814	849	962	966	887	896	834	770	741	696	677	671	679	727	776	803	801	799	799	122.60	121.80	120.60	120.00	120.20	120.30	120.70	121.30	119.60	114.10	117.50	113.80	111.10	121.40	124.40	121.70	123.70	122.30	121.10	125.50	125.30	123.20	119.40	116.40	114.00	114.40	114.00	113.80	111.80	110.40	-4.70408868	-174.53897936	-4.70690299	-174.53605332
3	14	08	05	07	33	46	34		160	148	141	132	126	122	118	111	105	105	107	106	102	100	100	96	89	80	69	61	59	60	54	46	39	36	35	34	34	35	754	764	805	835	828	810	813	815	769	768	847	872	956	965	915	908	873	784	760	701	672	653	689	716	764	808	833	826	839	830	-597	-622	-608	-622	-649	-648	-639	-624	-581	-566	-606	-556	-631	-740	-657	-655	-704	-674	-676	-700	-707	-672	-610	-553	-543	-557	-557	-555	-540	-510	962	985	1009	1041	1052	1037	1034	1026	964	954	1041	1034	1145	1216	1126	1120	1121	1034	1017	991	975	937	920	905	937	981	1002	995	998	974	128.40	129.20	127.10	126.70	128.10	128.70	128.20	127.40	127.10	126.40	125.60	122.50	123.40	127.50	125.70	125.80	128.90	130.70	131.70	135.00	136.50	135.80	131.50	127.70	125.40	124.60	123.80	123.90	122.80	121.60	-4.70690617	-174.53605131	-4.71108036	-174.53291682
4	14	08	05	07	53	48	03		160	149	140	134	127	121	117	111	106	106	108	106	104	102	98	94	88	76	64	57	58	58	50	41	36	34	34	34	34	34	745	752	758	796	802	798	780	765	719	726	815	815	884	874	898	913	831	730	685	632	621	620	637	696	764	776	781	783	740	731	-445	-448	-443	-439	-449	-446	-474	-457	-389	-371	-423	-347	-405	-498	-365	-389	-471	-482	-518	-537	-509	-449	-364	-344	-366	-363	-367	-386	-361	-325	868	875	878	909	919	914	913	891	817	815	918	886	972	1006	969	992	955	875	859	829	803	766	734	776	847	857	863	873	823	800	120.90	120.80	120.30	118.90	119.20	119.20	121.30	120.90	118.40	117.10	117.40	113.10	114.60	119.70	112.10	113.10	119.50	123.40	127.10	130.40	129.30	125.90	119.70	116.30	115.60	115.10	115.20	116.20	116.00	114.00	-4.71108363	-174.53291254	-4.71376752	-174.52981551
5	14	08	05	08	13	49	72		161	150	140	135	128	123	119	114	108	103	105	106	104	103	98	94	83	72	63	57	55	51	45	39	36	35	34	35	35	36	411	421	426	462	487	460	449	471	433	401	471	529	563	590	582	565	517	440	407	359	334	335	372	451	483	499	490	477	483	464	149	144	144	137	134	147	130	131	158	242	169	174	135	12	62	80	39	65	69	64	82	178	218	246	241	208	186	201	211	239	437	445	450	482	505	483	467	489	461	468	500	557	579	590	585	571	518	445	413	365	344	379	431	514	540	541	524	518	527	522	70.10	71.10	71.30	73.50	74.60	72.30	73.90	74.50	70.00	58.90	70.30	71.80	76.50	88.80	83.90	81.90	85.70	81.60	80.40	79.90	76.20	62.00	59.60	61.40	63.50	67.40	69.20	67.20	66.40	62.70	-4.71376701	-174.52981031	-4.71300451	-174.52851531
6	14	08	05	08	33	44	50		162	150	142	135	127	122	118	113	106	103	104	104	104	103	100	94	82	70	63	58	52	48	44	39	36	33	32	32	32	31	871	869	855	866	879	870	861	870	877	919	914	904	896	909	912	918	904	881	877	868	887	922	941	971	968	946	943	934	937	936	-871	-893	-912	-909	-931	-923	-915	-924	-900	-877	-929	-948	-970	-986	-954	-955	-970	-970	-929	-897	-845	-818	-814	-870	-921	-901	-894	-883	-899	-899	1232	1246	1250	1255	1280	1268	1256	1269	1257	1270	1303	1310	1320	1341	1320	1325	1326	1310	1278	1248	1225	1233	1244	1304	1336	1306	1299	1285	1299	1298	135.00	135.80	136.80	136.40	136.60	136.70	136.70	136.70	135.70	133.70	135.50	136.40	137.30	137.30	136.30	136.10	137.00	137.80	136.60	135.90	133.60	131.60	130.90	131.90	133.60	133.60	133.50	133.40	133.80	133.80	-4.71300518	-174.52852101	-4.71300451	-174.52851531
7	14	08	05	08	53	46	22		164	149	140	132	126	122	118	113	108	106	104	104	102	99	100	102	87	71	62	57	56	54	52	49	42	35	32	30	29	28	531	534	499	479	473	482	483	497	537	558	516	507	462	460	468	480	507	518	555	592	611	629	626	623	607	572	562	547	529	497	-617	-613	-620	-646	-644	-625	-613	-616	-627	-661	-675	-701	-701	-693	-666	-620	-613	-660	-636	-609	-600	-601	-627	-633	-650	-661	-640	-618	-641	-648	814	813	796	804	799	789	780	791	826	865	850	865	840	832	814	784	795	839	844	849	856	870	886	888	889	874	852	825	831	817	139.30	138.90	141.20	143.40	143.70	142.40	141.80	141.10	139.40	139.80	142.60	144.10	146.60	146.40	144.90	142.30	140.40	141.90	138.90	135.80	134.50	133.70	135.00	135.50	137.00	139.10	138.70	138.50	140.50	142.50	-4.71300518	-174.52852101	-4.71300451	-174.52851531
