Cruise	Station	Type	mon/day/yr	Lon (°E)	Lat (°N)	Bot. Depth [m]	Depth [m]	QF	Echo Amplitude [counts]	QF	East Component [mm/s]	QF	North Component [mm/s]	QF	Magnitude [mm/s]	QF	Direction [deg]	QF	Ensemble	QF	hh:mm
S254	012-505	C	7/30/2014	-174.7239857	-1.77003432		18.71	1	172	1	-121	1	-48	1	130	1	248.4	1	505	1	21:10
S254	012-505	C	7/30/2014	-174.7239857	-1.77003432		28.71	1	163	1	-111	1	-64	1	128	1	240	1	505	1	21:10
S254	012-505	C	7/30/2014	-174.7239857	-1.77003432		38.71	1	153	1	-105	1	-51	1	117	1	244.1	1	505	1	21:10
S254	012-505	C	7/30/2014	-174.7239857	-1.77003432		48.71	1	141	1	-78	1	-38	1	87	1	244	1	505	1	21:10
S254	012-505	C	7/30/2014	-174.7239857	-1.77003432		58.71	1	129	1	-82	1	-7	1	82	1	265.1	1	505	1	21:10
S254	012-505	C	7/30/2014	-174.7239857	-1.77003432		68.71	1	120	1	-92	1	29	1	96	1	287.5	1	505	1	21:10
S254	012-505	C	7/30/2014	-174.7239857	-1.77003432		78.71	1	113	1	-71	1	84	1	110	1	319.8	1	505	1	21:10
S254	012-505	C	7/30/2014	-174.7239857	-1.77003432		88.71	1	105	1	-92	1	88	1	127	1	313.7	1	505	1	21:10
S254	012-505	C	7/30/2014	-174.7239857	-1.77003432		98.71	1	99	1	-101	1	92	1	137	1	312.3	1	505	1	21:10
S254	012-505	C	7/30/2014	-174.7239857	-1.77003432		108.71	1	96	1	-93	1	44	1	103	1	295.3	1	505	1	21:10
S254	012-505	C	7/30/2014	-174.7239857	-1.77003432		118.71	1	98	1	12	1	-58	1	59	1	168.3	1	505	1	21:10
S254	012-505	C	7/30/2014	-174.7239857	-1.77003432		128.71	1	98	1	157	1	-90	1	181	1	119.8	1	505	1	21:10
S254	012-505	C	7/30/2014	-174.7239857	-1.77003432		138.71	1	96	1	331	1	17	1	331	1	87.1	1	505	1	21:10
S254	012-505	C	7/30/2014	-174.7239857	-1.77003432		148.71	1	94	1	312	1	86	1	324	1	74.6	1	505	1	21:10
S254	012-505	C	7/30/2014	-174.7239857	-1.77003432		158.71	1	88	1	211	1	39	1	215	1	79.5	1	505	1	21:10
S254	012-505	C	7/30/2014	-174.7239857	-1.77003432		168.71	1	80	1	87	1	-94	1	128	1	137.2	1	505	1	21:10
S254	012-505	C	7/30/2014	-174.7239857	-1.77003432		178.71	1	75	1	34	1	-163	1	167	1	168.2	1	505	1	21:10
S254	012-505	C	7/30/2014	-174.7239857	-1.77003432		188.71	1	72	1	58	1	-114	1	128	1	153	1	505	1	21:10
S254	012-505	C	7/30/2014	-174.7239857	-1.77003432		198.71	1	70	1	100	1	-71	1	123	1	125.4	1	505	1	21:10
S254	012-505	C	7/30/2014	-174.7239857	-1.77003432		208.71	1	64	1	55	1	-69	1	88	1	141.4	1	505	1	21:10
S254	012-505	C	7/30/2014	-174.7239857	-1.77003432		218.71	1	58	1	62	1	-103	1	120	1	149	1	505	1	21:10
S254	012-505	C	7/30/2014	-174.7239857	-1.77003432		228.71	1	53	1	75	1	-73	1	105	1	134.2	1	505	1	21:10
S254	012-505	C	7/30/2014	-174.7239857	-1.77003432		238.71	1	50	1	105	1	-73	1	128	1	124.8	1	505	1	21:10
S254	012-505	C	7/30/2014	-174.7239857	-1.77003432		248.71	1	47	1	106	1	-110	1	153	1	136.1	1	505	1	21:10
S254	012-505	C	7/30/2014	-174.7239857	-1.77003432		258.71	1	44	1	59	1	-120	1	134	1	153.8	1	505	1	21:10
S254	012-505	C	7/30/2014	-174.7239857	-1.77003432		268.71	1	42	1	30	1	-142	1	145	1	168.1	1	505	1	21:10
S254	012-505	C	7/30/2014	-174.7239857	-1.77003432		278.71	1	41	1	-20	1	-97	1	99	1	191.7	1	505	1	21:10
S254	012-505	C	7/30/2014	-174.7239857	-1.77003432		288.71	1	41	1	-31	1	-61	1	68	1	206.9	1	505	1	21:10
S254	012-505	C	7/30/2014	-174.7239857	-1.77003432		298.71	1	42	1	-37	1	-49	1	61	1	217.1	1	505	1	21:10
S254	012-505	C	7/30/2014	-174.7239857	-1.77003432		308.71	1	42	1	-51	1	-38	1	64	1	233.3	1	505	1	21:10
S254	012-506	C	7/30/2014	-174.7106211	-1.73691231		18.71	1	174	1	-111	1	-47	1	121	1	247.1	1	506	1	21:30
S254	012-506	C	7/30/2014	-174.7106211	-1.73691231		28.71	1	165	1	-129	1	-63	1	144	1	244	1	506	1	21:30
S254	012-506	C	7/30/2014	-174.7106211	-1.73691231		38.71	1	154	1	-114	1	-46	1	123	1	248	1	506	1	21:30
S254	012-506	C	7/30/2014	-174.7106211	-1.73691231		48.71	1	139	1	-92	1	-20	1	94	1	257.7	1	506	1	21:30
S254	012-506	C	7/30/2014	-174.7106211	-1.73691231		58.71	1	128	1	-61	1	33	1	69	1	298.4	1	506	1	21:30
S254	012-506	C	7/30/2014	-174.7106211	-1.73691231		68.71	1	121	1	-43	1	37	1	57	1	310.7	1	506	1	21:30
S254	012-506	C	7/30/2014	-174.7106211	-1.73691231		78.71	1	115	1	-56	1	46	1	72	1	309.4	1	506	1	21:30
S254	012-506	C	7/30/2014	-174.7106211	-1.73691231		88.71	1	110	1	-56	1	75	1	94	1	323.3	1	506	1	21:30
S254	012-506	C	7/30/2014	-174.7106211	-1.73691231		98.71	1	102	1	-70	1	77	1	104	1	317.7	1	506	1	21:30
S254	012-506	C	7/30/2014	-174.7106211	-1.73691231		108.71	1	98	1	-80	1	76	1	110	1	313.5	1	506	1	21:30
S254	012-506	C	7/30/2014	-174.7106211	-1.73691231		118.71	1	96	1	-32	1	31	1	45	1	314.1	1	506	1	21:30
S254	012-506	C	7/30/2014	-174.7106211	-1.73691231		128.71	1	96	1	117	1	-52	1	128	1	114	1	506	1	21:30
