"Series Data"
"D:\S-254\Data\ADCP\S254019_000000.LTA"
"Broadband 76.8 kHz"
"Pings/Ens ="	174
"Time/Ping = 00:02.00"
"First Ensemble Date = 14/08/05"
"First Ensemble Time = 06:53:42.94"
"Ensemble Interval (s) = "	1200.32
"1st Bin Range (m) = "	18.73
"Bin Size (m) ="	10.00


Ens	YR	MO	DA	HH	MM	SS	HH		"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	    "FLat"	    "FLon"	    "LLat"	    "LLon"
									"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	     "deg"	     "deg"	     "deg"	     "deg"
									31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60

1	14	08	05	06	53	42	94		35	34	31	28	28	27	26	24	23	22	22	22	23	24	27	28	28	28	26	24	22	20	20	18	18	17	15	14	14	14	615	602	591	591	577	554	544	524	518	531	480	506	495	491	485	491	482	490	490	499	494	521	533	536	608	505	572	546	928	348	-323	-337	-334	-339	-348	-366	-400	-381	-382	-371	-384	-403	-372	-390	-394	-393	-389	-366	-370	-408	-403	-429	-412	-397	-407	-424	-407	-302	-541	-965	695	690	679	681	674	664	675	648	644	648	615	647	619	627	625	629	619	612	614	645	638	675	674	667	732	659	702	624	1074	1026	117.70	119.20	119.50	119.80	121.10	123.50	126.30	126.00	126.40	124.90	128.70	128.50	126.90	128.50	129.10	128.70	128.90	126.80	127.10	129.30	129.20	129.50	127.70	126.50	123.80	130.00	125.40	118.90	120.20	160.20	-4.70146003	-174.54113804	-4.70408550	-174.53898783
2	14	08	05	07	13	44	64		39	36	34	31	28	27	26	25	25	23	22	22	23	26	28	30	30	29	27	25	22	20	20	19	18	18	16	16	14	14	738	727	698	672	663	647	626	635	611	629	602	609	585	589	590	595	593	608	580	588	590	585	599	589	630	647	652	716	647	715	-279	-299	-302	-301	-334	-361	-360	-349	-344	-349	-356	-362	-362	-363	-349	-354	-345	-357	-373	-391	-383	-443	-384	-392	-362	-399	-382	-491	-128	-419	789	786	761	736	742	741	722	725	701	719	699	708	688	692	685	692	686	705	690	706	703	734	712	708	727	760	756	868	660	829	110.70	112.40	113.40	114.10	116.70	119.20	119.90	118.80	119.40	119.00	120.60	120.70	121.70	121.60	120.60	120.80	120.20	120.40	122.70	123.60	123.00	127.10	122.70	123.60	119.90	121.70	120.40	124.40	101.20	120.40	-4.70408868	-174.53897936	-4.70690299	-174.53605332
3	14	08	05	07	33	46	34		36	36	34	33	30	28	26	24	24	22	22	22	22	23	25	27	27	27	26	24	23	20	19	18	18	17	17	16	15	14	832	821	824	833	768	749	736	708	702	714	698	701	691	701	699	686	704	715	737	713	706	693	693	715	671	729	774	762	843	907	-513	-508	-526	-523	-531	-557	-576	-601	-596	-571	-584	-608	-578	-591	-589	-585	-581	-589	-621	-635	-635	-623	-666	-658	-637	-629	-614	-663	-619	-619	977	965	978	984	934	933	935	929	921	914	910	928	901	917	914	902	913	926	964	955	950	932	961	972	925	963	988	1010	1046	1098	121.70	121.70	122.60	122.10	124.70	126.60	128.00	130.30	130.30	128.70	129.90	130.90	129.90	130.10	130.10	130.50	129.50	129.50	130.10	131.70	132.00	132.00	133.90	132.60	133.50	130.80	128.40	131.00	126.30	124.30	-4.70690617	-174.53605131	-4.71108036	-174.53291682
4	14	08	05	07	53	48	03		35	35	35	32	29	28	26	24	22	21	20	20	21	22	24	26	27	28	27	25	22	20	18	17	17	16	15	14	14	14	748	741	760	734	726	694	669	638	625	649	637	652	625	627	642	629	602	623	636	631	613	604	616	638	653	684	623	724	763	705	-326	-328	-311	-316	-327	-347	-385	-397	-389	-376	-408	-414	-398	-406	-395	-399	-426	-421	-432	-467	-470	-459	-458	-427	-456	-433	-471	-368	-376	-487	816	810	821	799	796	776	772	751	736	750	756	772	741	747	754	745	737	752	769	785	772	759	768	768	796	810	781	812	851	857	113.50	113.90	112.30	113.30	114.20	116.60	119.90	121.90	121.90	120.10	122.60	122.40	122.50	122.90	121.60	122.40	125.30	124.00	124.20	126.50	127.50	127.20	126.60	123.80	124.90	122.30	127.10	116.90	116.20	124.60	-4.71108363	-174.53291254	-4.71376752	-174.52981551
5	14	08	05	08	13	49	72		35	36	34	32	30	27	25	25	24	22	21	21	22	24	26	27	28	28	27	26	24	21	19	18	17	16	15	15	14	14	474	466	446	463	419	387	340	319	313	301	309	296	306	293	332	301	319	315	297	284	266	287	271	301	296	360	296	448	309	392	266	280	262	271	249	209	205	185	179	197	199	179	197	213	197	212	203	200	199	172	148	142	154	110	122	130	163	105	189	176	544	544	517	536	487	440	397	369	361	360	368	346	364	362	386	368	378	373	358	332	304	320	312	320	320	383	338	460	362	430	60.70	59.00	59.60	59.70	59.30	61.60	58.90	59.90	60.20	56.80	57.20	58.80	57.20	54.00	59.30	54.80	57.50	57.60	56.20	58.80	60.90	63.70	60.40	69.90	67.60	70.10	61.20	76.80	58.50	65.80	-4.71376701	-174.52981031	-4.71300451	-174.52851531
6	14	08	05	08	33	44	50		30	30	30	29	28	26	24	24	23	22	22	23	24	25	26	26	26	25	24	22	20	18	17	16	16	15	14	14	14	13	937	947	956	933	920	894	902	905	907	881	842	892	860	873	884	867	885	901	881	880	884	888	868	857	839	777	808	873	1229	872	-899	-903	-883	-888	-875	-847	-849	-845	-836	-810	-842	-804	-809	-800	-786	-779	-826	-782	-829	-832	-830	-850	-790	-837	-838	-753	-944	-824	-864	-853	1299	1309	1301	1288	1270	1232	1239	1238	1234	1197	1191	1201	1181	1184	1183	1166	1211	1193	1210	1211	1213	1229	1174	1198	1186	1082	1243	1200	1502	1220	133.80	133.60	132.70	133.60	133.60	133.50	133.30	133.00	132.70	132.60	135.00	132.00	133.20	132.50	131.60	131.90	133.00	131.00	133.30	133.40	133.20	133.70	132.30	134.30	135.00	134.10	139.40	133.30	125.10	134.40	-4.71300518	-174.52852101	-4.71300451	-174.52851531
7	14	08	05	08	53	46	22		27	27	25	24	22	20	21	23	26	27	28	29	30	31	31	30	28	26	24	22	20	18	17	17	16	16	15	14	14	13	509	517	543	507	549	594	575	561	597	621	608	620	639	643	651	654	669	653	655	658	635	642	668	659	618	671	639	687	592	576	-630	-640	-630	-639	-634	-611	-613	-622	-594	-567	-582	-577	-605	-613	-595	-591	-580	-591	-593	-577	-584	-616	-593	-580	-619	-598	-667	-640	-528	-668	810	823	832	816	839	852	840	838	842	841	842	847	880	888	882	881	885	881	884	875	863	890	893	878	875	899	924	939	793	882	141.10	141.10	139.20	141.60	139.10	135.80	136.80	138.00	134.90	132.40	133.70	132.90	133.40	133.60	132.40	132.10	130.90	132.10	132.20	131.20	132.60	133.80	131.60	131.40	135.00	131.70	136.20	133.00	131.70	139.20	-4.71300518	-174.52852101	-4.71300451	-174.52851531
