Cruise	Station	Type	mon/day/yr	Lon (°E)	Lat (°N)	Bot. Depth [m]	Depth [m]	QF	Echo Amplitude [counts]	QF	East Component [mm/s]	QF	North Component [mm/s]	QF	Magnitude [mm/s]	QF	Direction [deg]	QF	Ensemble	QF	hh:mm
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		318.73	1	35	1	615	1	-323	1	695	1	117.7	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		328.73	1	34	1	602	1	-337	1	690	1	119.2	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		338.73	1	31	1	591	1	-334	1	679	1	119.5	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		348.73	1	28	1	591	1	-339	1	681	1	119.8	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		358.73	1	28	1	577	1	-348	1	674	1	121.1	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		368.73	1	27	1	554	1	-366	1	664	1	123.5	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		378.73	1	26	1	544	1	-400	1	675	1	126.3	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		388.73	1	24	1	524	1	-381	1	648	1	126	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		398.73	1	23	1	518	1	-382	1	644	1	126.4	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		408.73	1	22	1	531	1	-371	1	648	1	124.9	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		418.73	1	22	1	480	1	-384	1	615	1	128.7	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		428.73	1	22	1	506	1	-403	1	647	1	128.5	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		438.73	1	23	1	495	1	-372	1	619	1	126.9	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		448.73	1	24	1	491	1	-390	1	627	1	128.5	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		458.73	1	27	1	485	1	-394	1	625	1	129.1	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		468.73	1	28	1	491	1	-393	1	629	1	128.7	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		478.73	1	28	1	482	1	-389	1	619	1	128.9	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		488.73	1	28	1	490	1	-366	1	612	1	126.8	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		498.73	1	26	1	490	1	-370	1	614	1	127.1	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		508.73	1	24	1	499	1	-408	1	645	1	129.3	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		518.73	1	22	1	494	1	-403	1	638	1	129.2	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		528.73	1	20	1	521	1	-429	1	675	1	129.5	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		538.73	1	20	1	533	1	-412	1	674	1	127.7	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		548.73	1	18	1	536	1	-397	1	667	1	126.5	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		558.73	1	18	1	608	1	-407	1	732	1	123.8	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		568.73	1	17	1	505	1	-424	1	659	1	130	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		578.73	1	15	1	572	1	-407	1	702	1	125.4	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		588.73	1	14	1	546	1	-302	1	624	1	118.9	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		598.73	1	14	1	928	1	-541	1	1074	1	120.2	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		608.73	1	14	1	348	1	-965	1	1026	1	160.2	1	1	1	6:53
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		318.73	1	39	1	738	1	-279	1	789	1	110.7	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		328.73	1	36	1	727	1	-299	1	786	1	112.4	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		338.73	1	34	1	698	1	-302	1	761	1	113.4	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		348.73	1	31	1	672	1	-301	1	736	1	114.1	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		358.73	1	28	1	663	1	-334	1	742	1	116.7	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		368.73	1	27	1	647	1	-361	1	741	1	119.2	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		378.73	1	26	1	626	1	-360	1	722	1	119.9	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		388.73	1	25	1	635	1	-349	1	725	1	118.8	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		398.73	1	25	1	611	1	-344	1	701	1	119.4	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		408.73	1	23	1	629	1	-349	1	719	1	119	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		418.73	1	22	1	602	1	-356	1	699	1	120.6	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		428.73	1	22	1	609	1	-362	1	708	1	120.7	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		438.73	1	23	1	585	1	-362	1	688	1	121.7	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		448.73	1	26	1	589	1	-363	1	692	1	121.6	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		458.73	1	28	1	590	1	-349	1	685	1	120.6	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		468.73	1	30	1	595	1	-354	1	692	1	120.8	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		478.73	1	30	1	593	1	-345	1	686	1	120.2	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		488.73	1	29	1	608	1	-357	1	705	1	120.4	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		498.73	1	27	1	580	1	-373	1	690	1	122.7	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		508.73	1	25	1	588	1	-391	1	706	1	123.6	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		518.73	1	22	1	590	1	-383	1	703	1	123	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		528.73	1	20	1	585	1	-443	1	734	1	127.1	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		538.73	1	20	1	599	1	-384	1	712	1	122.7	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		548.73	1	19	1	589	1	-392	1	708	1	123.6	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		558.73	1	18	1	630	1	-362	1	727	1	119.9	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		568.73	1	18	1	647	1	-399	1	760	1	121.7	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		578.73	1	16	1	652	1	-382	1	756	1	120.4	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		588.73	1	16	1	716	1	-491	1	868	1	124.4	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		598.73	1	14	1	647	1	-128	1	660	1	101.2	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		608.73	1	14	1	715	1	-419	1	829	1	120.4	1	2	1	7:13
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		318.73	1	36	1	832	1	-513	1	977	1	121.7	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		328.73	1	36	1	821	1	-508	1	965	1	121.7	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		338.73	1	34	1	824	1	-526	1	978	1	122.6	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		348.73	1	33	1	833	1	-523	1	984	1	122.1	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		358.73	1	30	1	768	1	-531	1	934	1	124.7	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		368.73	1	28	1	749	1	-557	1	933	1	126.6	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		378.73	1	26	1	736	1	-576	1	935	1	128	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		388.73	1	24	1	708	1	-601	1	929	1	130.3	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		398.73	1	24	1	702	1	-596	1	921	1	130.3	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		408.73	1	22	1	714	1	-571	1	914	1	128.7	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		418.73	1	22	1	698	1	-584	1	910	1	129.9	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		428.73	1	22	1	701	1	-608	1	928	1	130.9	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		438.73	1	22	1	691	1	-578	1	901	1	129.9	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		448.73	1	23	1	701	1	-591	1	917	1	130.1	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		458.73	1	25	1	699	1	-589	1	914	1	130.1	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		468.73	1	27	1	686	1	-585	1	902	1	130.5	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		478.73	1	27	1	704	1	-581	1	913	1	129.5	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		488.73	1	27	1	715	1	-589	1	926	1	129.5	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		498.73	1	26	1	737	1	-621	1	964	1	130.1	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		508.73	1	24	1	713	1	-635	1	955	1	131.7	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		518.73	1	23	1	706	1	-635	1	950	1	132	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		528.73	1	20	1	693	1	-623	1	932	1	132	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		538.73	1	19	1	693	1	-666	1	961	1	133.9	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		548.73	1	18	1	715	1	-658	1	972	1	132.6	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		558.73	1	18	1	671	1	-637	1	925	1	133.5	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		568.73	1	17	1	729	1	-629	1	963	1	130.8	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		578.73	1	17	1	774	1	-614	1	988	1	128.4	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		588.73	1	16	1	762	1	-663	1	1010	1	131	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		598.73	1	15	1	843	1	-619	1	1046	1	126.3	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		608.73	1	14	1	907	1	-619	1	1098	1	124.3	1	3	1	7:33
S254	019-4	C	8/5/2014	-174.5329125	-4.71376752		318.73	1	35	1	748	1	-326	1	816	1	113.5	1	4	1	7:53
S254	019-4	C	8/5/2014	-174.5329125	-4.71376752		328.73	1	35	1	741	1	-328	1	810	1	113.9	1	4	1	7:53
S254	019-4	C	8/5/2014	-174.5329125	-4.71376752		338.73	1	35	1	760	1	-311	1	821	1	112.3	1	4	1	7:53
S254	019-4	C	8/5/2014	-174.5329125	-4.71376752		348.73	1	32	1	734	1	-316	1	799	1	113.3	1	4	1	7:53
S254	019-4	C	8/5/2014	-174.5329125	-4.71376752		358.73	1	29	1	726	1	-327	1	796	1	114.2	1	4	1	7:53
S254	019-4	C	8/5/2014	-174.5329125	-4.71376752		368.73	1	28	1	694	1	-347	1	776	1	116.6	1	4	1	7:53
S254	019-4	C	8/5/2014	-174.5329125	-4.71376752		378.73	1	26	1	669	1	-385	1	772	1	119.9	1	4	1	7:53
S254	019-4	C	8/5/2014	-174.5329125	-4.71376752		388.73	1	24	1	638	1	-397	1	751	1	121.9	1	4	1	7:53
S254	019-4	C	8/5/2014	-174.5329125	-4.71376752		398.73	1	22	1	625	1	-389	1	736	1	121.9	1	4	1	7:53
S254	019-4	C	8/5/2014	-174.5329125	-4.71376752		408.73	1	21	1	649	1	-376	1	750	1	120.1	1	4	1	7:53
S254	019-4	C	8/5/2014	-174.5329125	-4.71376752		418.73	1	20	1	637	1	-408	1	756	1	122.6	1	4	1	7:53
S254	019-4	C	8/5/2014	-174.5329125	-4.71376752		428.73	1	20	1	652	1	-414	1	772	1	122.4	1	4	1	7:53
S254	019-4	C	8/5/2014	-174.5329125	-4.71376752		438.73	1	21	1	625	1	-398	1	741	1	122.5	1	4	1	7:53
